Product,Time,Label,Data
T,5,T1,46.6
T,5,T2,10.5
T,5,T3,10
T,5,T4,42.9
T,5,T5,61
T,5,T6,36.3
T,5,T7,6.4
T,5,T8,4.4
T,5,T9,5.4
T,5,T10,3.6
T,5,T11,6.4
T,5,T12,35
T,10,T1,74
T,10,T2,38.1
T,10,T3,30.9
T,10,T4,88.1
T,10,T5,84.3
T,10,T6,71.9
T,10,T7,39.4
T,10,T8,38.5
T,10,T9,42.4
T,10,T10,21.5
T,10,T11,38.7
T,10,T12,91.6
T,15,T1,88.7
T,15,T2,70.9
T,15,T3,45.5
T,15,T4,93.3
T,15,T5,92.3
T,15,T6,85
T,15,T7,70.9
T,15,T8,70.9
T,15,T9,75.1
T,15,T10,48.4
T,15,T11,65.6
T,15,T12,97.4
T,20,T1,95.8
T,20,T2,81.8
T,20,T3,64
T,20,T4,93.4
T,20,T5,92.3
T,20,T6,90.4
T,20,T7,91.9
T,20,T8,86.4
T,20,T9,93.2
T,20,T10,78.7
T,20,T11,82.6
T,20,T12,97.5
T,30,T1,94.7
T,30,T2,93
T,30,T3,91.4
T,30,T4,94.3
T,30,T5,90.7
T,30,T6,90.8
T,30,T7,97.2
T,30,T8,96
T,30,T9,95.9
T,30,T10,96.8
T,30,T11,96.2
T,30,T12,96.7
T,45,T1,94
T,45,T2,91.6
T,45,T3,97.7
T,45,T4,92
T,45,T5,89.8
T,45,T6,88.3
T,45,T7,97.6
T,45,T8,94.6
T,45,T9,93.8
T,45,T10,95
T,45,T11,97.6
T,45,T12,95.7
R,5,T1R,72.7
R,5,T2R,78.8
R,5,T3R,32.3
R,5,T4R,38.8
R,5,T5R,18.9
R,5,T6R,52.1
R,5,T7R,14.3
R,5,T8R,67.8
R,5,T9R,7.5
R,5,T10R,8.5
R,5,T11R,26.5
R,5,T12R,10.2
R,10,T1R,89.1
R,10,T2R,94.4
R,10,T3R,60.5
R,10,T4R,63.7
R,10,T5R,31.3
R,10,T6R,79.6
R,10,T7R,44.3
R,10,T8R,95
R,10,T9R,19.3
R,10,T10R,38.4
R,10,T11R,67.8
R,10,T12R,36.4
R,15,T1R,88.7
R,15,T2R,94.4
R,15,T3R,77.7
R,15,T4R,75.1
R,15,T5R,44
R,15,T6R,87.8
R,15,T7R,62.1
R,15,T8R,95.7
R,15,T9R,34.7
R,15,T10R,60.3
R,15,T11R,93.7
R,15,T12R,52.2
R,20,T1R,89.3
R,20,T2R,93.5
R,20,T3R,88.4
R,20,T4R,89.4
R,20,T5R,58.8
R,20,T6R,96.7
R,20,T7R,78.8
R,20,T8R,95.6
R,20,T9R,59.2
R,20,T10R,78
R,20,T11R,92.9
R,20,T12R,78.3
R,30,T1R,88.1
R,30,T2R,93.3
R,30,T3R,95.1
R,30,T4R,94.2
R,30,T5R,74.2
R,30,T6R,96.5
R,30,T7R,92.9
R,30,T8R,94.5
R,30,T9R,92.4
R,30,T10R,95.3
R,30,T11R,92.6
R,30,T12R,95.7
R,45,T1R,87.2
R,45,T2R,91.8
R,45,T3R,93.7
R,45,T4R,94
R,45,T5R,89.9
R,45,T6R,94.1
R,45,T7R,94.8
R,45,T8R,94
R,45,T9R,96.3
R,45,T10R,97
R,45,T11R,92.2
R,45,T12R,94.3
