DOW1941,Date,Day,DayOfWeek,Month
131.13,01-02-1941,1,5,1
130.57,01-03-1941,2,6,1
132.01,01-05-1941,3,1,1
132.4,01-06-1941,4,2,1
132.83,01-07-1941,5,3,1
133.02,01-08-1941,6,4,1
133.02,01-09-1941,7,5,1
133.39,01-10-1941,8,6,1
133.59,01-12-1941,9,1,1
133.49,01-13-1941,10,2,1
133.25,01-14-1941,11,3,1
132.44,01-15-1941,12,4,1
131.51,01-16-1941,13,5,1
129.93,01-17-1941,14,6,1
129.54,01-19-1941,15,1,1
129.75,01-20-1941,16,2,1
129.24,01-21-1941,17,3,1
128.2,01-22-1941,18,4,1
128.65,01-23-1941,19,5,1
128.34,01-24-1941,20,6,1
128.52,01-26-1941,21,1,1
128.96,01-27-1941,22,2,1
129.03,01-28-1941,23,3,1
128.6,01-29-1941,24,4,1
126,01-30-1941,25,5,1
124.05,01-31-1941,26,6,1
124.13,02-02-1941,27,1,2
123.28,02-03-1941,28,2,2
122.67,02-04-1941,29,3,2
122.63,02-05-1941,30,4,2
124.14,02-06-1941,31,5,2
124.76,02-07-1941,32,6,2
124.3,02-09-1941,33,1,2
124.71,02-10-1941,34,2,2
124.19,02-11-1941,35,3,2
122.61,02-13-1941,36,5,2
121.1,02-14-1941,37,6,2
117.66,02-16-1941,38,1,2
118.55,02-17-1941,39,2,2
119.18,02-18-1941,40,3,2
118.98,02-19-1941,41,4,2
117.94,02-20-1941,42,5,2
119.99,02-23-1941,43,1,2
120.24,02-24-1941,44,2,2
121.49,02-25-1941,45,3,2
122.4,02-26-1941,46,4,2
122.39,02-27-1941,47,5,2
121.87,02-28-1941,48,6,2
121.97,03-02-1941,49,1,3
121.86,03-03-1941,50,2,3
120.88,03-04-1941,51,3,3
121.16,03-05-1941,52,4,3
120.3,03-06-1941,53,5,3
121.63,03-07-1941,54,6,3
121.59,03-09-1941,55,1,3
121.47,03-10-1941,56,2,3
123.64,03-11-1941,57,3,3
123.27,03-12-1941,58,4,3
123.19,03-13-1941,59,5,3
122.56,03-14-1941,60,6,3
122.75,03-16-1941,61,1,3
123.4,03-17-1941,62,2,3
123.46,03-18-1941,63,3,3
123.92,03-19-1941,64,4,3
123.55,03-20-1941,65,5,3
123.6,03-21-1941,66,6,3
122.47,03-23-1941,67,1,3
121.92,03-24-1941,68,2,3
122.39,03-25-1941,69,3,3
122.78,03-26-1941,70,4,3
122.7,03-27-1941,71,5,3
123.33,03-28-1941,72,6,3
122.68,03-30-1941,73,1,3
122.37,03-31-1941,74,2,3
122.72,04-01-1941,75,3,4
123.26,04-02-1941,76,4,4
123.43,04-03-1941,77,5,4
124.65,04-04-1941,78,6,4
124.64,04-06-1941,79,1,4
124.32,04-07-1941,80,2,4
123.64,04-08-1941,81,3,4
121.21,04-09-1941,82,4,4
119.85,04-10-1941,83,5,4
119.66,04-11-1941,84,6,4
118.6,04-13-1941,85,1,4
118.89,04-14-1941,86,2,4
118.59,04-15-1941,87,3,4
118.6,04-16-1941,88,4,4
118.16,04-17-1941,89,5,4
116.28,04-18-1941,90,6,4
116.15,04-20-1941,91,1,4
116.06,04-21-1941,92,2,4
115.78,04-22-1941,93,3,4
116.59,04-23-1941,94,4,4
117.35,04-24-1941,95,5,4
116.58,04-25-1941,96,6,4
