Fat.grams,FoodEnergy.calories,Carbohydrates.grams,Protein.grams,Cholesterol.mg,Weight.grams,SaturatedFat.grams
2,25,2,0,2,15,0.2
6,60,2,0,4,16,1
1,90,22,4,0,28.35,0.1
0,90,22,3,0,28.35,0.1
0,10,1,1,0,33,0
1,70,21,4,0,28.35,0.1
0,125,29,3,0,53,0
0,155,42,1,0,64,0
0,15,3,2,0,60,0.1
0,15,3,2,0,60,0
0,10,2,1,0,80,0
0,10,2,1,0,80,0
0,5,1,0,0,4.3,0
0,5,1,0,0,3.8,0
0,5,1,0,0,3,0
0,5,1,0,0,2.9,0
3,95,14,2,0,28,0.8
5,100,13,2,0,28,1.2
2,65,10,1,1,20,0.6
0,10,2,0,0,16,0
8,75,1,1,3,15,1.5
5,135,20,3,19,45,1.5
1,95,21,2,3,45,0.3
1,95,21,2,3,45,0.3
1,15,1,1,1,6,0.3
4,140,24,3,28,45,1.3
6,125,19,3,24,45,1.4
0,10,2,1,0,30,0
5,50,0,2,9,13,1.7
6,95,11,1,18,20,1.4
4,100,16,1,14,25,1.6
4,35,0,0,11,5,2.5
4,35,0,0,11,5,2.5
0,10,2,1,0,76,0
0,15,4,1,0,70,0
0,20,4,1,0,70,0
0,20,4,1,0,70,0
3,120,23,1,0,28.35,1.7
3,115,22,1,1,28.35,2.2
0,30,7,1,0,72,0
0,15,4,0,0,15,0
1,10,1,0,0,2,0
0,5,1,0,0,40,0
6,70,0,4,18,17,3.6
2,110,20,4,0,28.35,0.3
3,50,6,1,6,10,0.9
2,40,5,1,1,8,0.4
1,50,11,1,0,68,0.1
1,30,0,5,126,20,0.4
0,10,1,0,0,2.6,0.1
0,5,2,0,0,2.3,0
1,75,19,1,0,21,0.3
1,100,22,3,1,28.35,0.6
2,25,2,1,9,16,0.5
9,155,16,2,0,28.35,1.4
0,110,24,2,0,28.35,0
0,110,24,2,0,28.35,0
5,145,21,3,23,45,1.5
14,125,0,0,0,14,1.8
0,60,14,2,0,63,0.1
0,60,14,2,0,63,0.1
1,85,19,3,0,77,0.2
1,85,19,3,0,77,0.2
1,65,12,2,0,25,0.2
1,65,12,2,0,21,0.2
0,5,1,0,0,28,0
0,5,1,0,0,2,0
6,110,13,2,24,28.35,1.8
4,120,20,2,19,35,1.8
0,15,0,4,0,33,0
0,10,2,1,0,50,0
1,140,27,5,0,57,0.3
1,140,27,5,0,50,0.3
13,115,0,0,0,13,3.3
6,75,1,4,25,28.35,4.2
3,70,4,6,26,28,0.8
0,105,27,0,0,28.35,0
1,100,18,3,0,35,0.3
2,25,2,0,0,16,0.2
9,85,1,0,0,16,1.4
1,110,25,2,0,28.35,0.2
3,115,21,1,1,28.35,2.1
0,10,2,0,0,2.8,0
0,25,0,6,0,7,0
4,175,32,2,1,63,1.1
0,95,0,0,0,42,0
0,105,0,0,0,42,0
0,110,0,0,0,42,0
1,110,24,2,0,28.35,0.7
1,60,11,1,0,14,0.4
0,100,23,3,0,28.35,0
0,35,9,0,0,50,0.1
0,40,10,0,0,57,0.1
0,100,25,0,0,28.35,0
2,20,1,0,6,15,1.1
0,110,28,0,0,28.35,0
0,65,17,0,0,21,0
1,105,23,3,0,28.35,0.1
5,100,12,2,22,50,3.4
1,20,2,0,0,15,1.4
1,10,1,0,0,2,0.7
1,15,1,0,0,4,0.9
2,20,1,0,1,12,1.6
1,10,1,0,0,4,0.8
0,10,1,0,0,4,0.4
0,85,17,3,0,30,0
0,5,2,0,0,15,0
9,80,1,0,0,15,1.3
0,40,10,0,0,14,0
0,55,14,0,0,20,0
0,40,10,0,0,14,0
0,50,13,0,0,18,0
0,105,26,0,0,28.35,0
0,45,11,1,0,76,0
0,5,1,0,0,15,0
0,15,5,1,0,58,0
0,0,0,0,0,15,0
0,5,1,1,0,55,0
0,10,2,1,0,56,0
3,30,1,0,10,15,1.8
1,110,23,3,0,28.35,0.2
1,85,18,1,1,21,0.5
2,85,15,3,4,21,0.9
5,50,0,0,0,14,1.1
4,35,0,0,0,5,0.8
11,100,0,0,0,14,2.2
11,100,0,0,0,14,1.9
3,25,0,0,0,5,0.7
9,75,0,0,0,14,2
9,75,0,0,0,14,1.8
0,90,23,1,0,28.35,0
5,60,4,0,4,15,0.7
3,35,2,0,4,15,0.5
11,100,0,0,8,14,1.7
0,20,4,1,0,5,0.1
1,65,12,2,0,25,0.2
1,65,12,2,0,23,0.2
0,85,22,0,0,40,0
6,80,1,6,22,28.35,3.7
5,80,1,8,15,28.35,3.1
0,20,3,1,0,70,0
0,5,0,0,0,5,0
5,125,19,3,0,28.35,3.3
1,65,12,2,0,25,0.2
1,65,12,2,0,23,0.2
14,125,0,0,0,14,1.9
2,15,0,0,0,13,0.2
2,15,0,0,0,9,0.3
0,5,2,0,0,2.1,0
5,80,8,1,0,20,1.7
0,20,4,1,0,7,0.1
0,10,2,1,0,30,0
0,5,1,0,0,1.5,0
5,90,5,5,35,45,1.4
2,55,6,2,20,27,0.9
2,60,8,2,16,27,0.5
2,60,9,2,16,27,0.5
0,5,1,0,0,2.1,0
2,25,0,2,4,5,1
0,0,0,0,0,0.4,0
0,5,1,0,0,10,0
6,80,2,5,16,28.35,3.8
0,60,16,0,0,81,0
0,35,9,0,0,77,0
8,95,3,5,0,16,1.4
14,125,0,0,0,14,2.4
0,60,15,0,0,79,0
0,40,10,0,0,77,0
0,20,4,1,0,45,0
0,20,4,1,0,45,0
0,15,3,0,0,73,0
0,15,3,0,0,73,0
0,20,4,1,0,74,0
0,20,4,1,0,74,0
0,5,1,0,0,2.1,0
0,5,1,0,0,65,0
0,10,3,0,0,15,0
0,20,5,0,0,15,0
0,45,12,0,0,58,0
0,35,9,0,0,58,0
1,165,33,6,0,60,0.1
0,15,4,0,0,28,0
0,35,9,1,0,66,0
0,30,6,1,0,8,0
3,55,6,1,0,11,0.5
1,135,30,2,0,35,0.1
4,50,0,3,11,13,1.4
7,105,10,1,0,20,1.8
4,110,17,2,0,50,2.1
5,120,15,2,32,30,1.2
0,10,2,0,0,3,0
1,65,13,2,0,16,0.1
0,110,24,3,0,28.35,0
0,115,31,1,0,49,0
1,80,16,3,0,32,0.2
1,80,16,3,0,29,0.2
0,5,1,0,0,18,0
1,90,21,3,0,28.35,0.1
1,85,21,3,0,28.35,0.1
1,65,13,2,0,25,0.2
1,65,13,2,0,21,0.2
0,40,11,0,0,14,0
0,20,5,0,0,15,0
0,110,25,2,0,28.35,0
2,85,14,2,0,28,0.5
3,120,20,3,12,35,0.8
2,115,20,3,0,40,0.5
2,155,30,5,0,50,0.4
1,65,12,2,0,25,0.2
1,65,12,2,0,22,0.2
1,55,10,1,0,14,0.3
14,125,0,0,0,14,1.3
7,85,1,5,16,20,2.4
0,0,0,0,0,5.5,0
1,50,9,1,4,12,0.5
3,35,2,1,6,15,0.9
0,10,3,0,0,28.35,0.1
4,45,1,2,0,8,0.6
8,145,17,2,0,28,1.3
1,100,23,3,0,28.35,0.1
4,105,17,1,15,28,1.7
5,155,27,1,7,42,2.3
1,15,2,0,0,3,0.2
3,25,1,0,5,12,1.6
0,10,2,2,0,18,0
14,125,0,0,0,14,2.5
14,125,0,0,0,14,2.1
0,110,21,6,0,28.35,0
0,10,2,2,0,55,0
0,110,26,1,0,28.35,0
1,105,25,2,0,28.35,0.1
0,25,6,0,0,6,0
0,45,12,0,0,12,0
14,125,0,0,0,14,1.4
0,105,26,2,0,28.35,0
0,35,8,1,0,40,0
0,85,22,1,0,38,0.2
5,125,21,2,0,38,3.1
0,122,32,0,0,42,0
8,90,3,3,0,15,1.1
8,75,1,0,4,14,1.2
1,65,13,2,0,30,0.1
1,100,22,3,0,28.35,0.1
0,110,25,2,0,28.35,0.2
1,45,0,10,17,42,0.2
1,45,0,10,17,42,0.2
1,70,13,2,0,25,0.2
4,45,0,2,8,16,1.5
8,70,0,0,0,16,1.5
0,0,1,0,0,15,0
1,65,12,2,0,25,0.2
1,65,12,3,0,23,0.2
0,100,23,3,0,28.35,0.1
1,35,5,1,0,8,0.5
1,10,0,0,2,3,0.4
6,50,0,0,21,15,3.5
5,45,0,0,17,15,2.9
2,120,22,4,0,45,0.6
1,80,15,2,0,30,0.4
1,65,12,2,0,25,0.3
1,55,10,2,0,20,0.2
1,65,12,2,0,22,0.3
1,55,10,2,0,17,0.2
1,70,13,3,0,28,0.4
1,70,13,3,0,25,0.4
2,35,5,1,0,8,0.5
0,20,3,3,0,7,0
0,25,3,3,0,8,0
6,135,18,3,0,28.35,4.1
15,165,6,6,0,28.35,1.4
18,405,60,3,0,158,4.6
30,305,12,4,0,173,4.5
2,200,38,7,44,68,0.3
2,200,38,7,0,68,0.3
8,100,1,6,21,28.35,5.3
5,140,22,3,45,45,1.4
17,380,55,4,0,158,4.3
16,180,2,7,31,57,6.1
18,205,2,8,89,57,6.2
19,185,4,4,0,28.35,4.6
31,500,50,9,0,140,6.1
26,420,40,9,67,203,5.3
5,390,73,13,5,100,1.5
1,340,78,6,0,98,0.2
3,600,129,19,0,170,1.2
11,100,0,0,31,14,7.1
11,100,0,0,31,14,7.1
1,350,76,7,0,96,0.1
9,115,0,8,27,38,5.8
21,385,48,4,74,96,4.1
13,165,9,4,0,28.35,2.6
13,165,9,4,0,28.35,2.6
14,165,8,5,0,28.35,2.7
14,165,8,5,0,28.35,2.7
9,115,0,7,30,28.35,6
18,410,61,4,0,158,4.7
9,115,3,6,45,45,2.5
4,90,1,11,28,57,1.1
9,180,28,2,5,42,2.9
11,185,26,2,18,40,3.9
11,225,32,2,22,48,4
15,145,8,3,0,28.35,9
15,160,7,1,0,45,13.4
27,285,12,3,0,80,23.8
7,230,38,5,47,72,2
6,145,22,3,42,45,1.7
4,440,91,11,0,122,0.5
2,500,108,11,0,138,0.2
5,435,90,11,0,122,0.5
10,100,1,2,31,28.35,6.2
