diska,hyb,res3,res18,res14,res7,res20
1,1,2060,1334,1770,1894,1873
1,2,1907,1407,1827,1854,1992
1,3,1887,1107,2104,1774,2349
1,4,1934,1174,2104,1834,2171
1,5,2060,1414,2018,1947,2366
1,6,2060,1474,1684,1914,2111
2,1,2127,1787,1734,1920,1805
2,2,1940,1714,1763,1880,1873
2,3,1834,1394,2118,1760,2230
2,4,1800,1514,1919,1734,2179
2,5,1854,1594,1585,1767,2035
2,6,1980,1587,1493,1827,1890
3,1,1947,1514,1251,1827,1158
3,2,1700,1407,953,1674,988
3,3,1587,1094,1088,1540,1226
3,4,1627,1220,1009,1514,1286
3,5,1647,1340,931,1567,1430
3,6,1674,1347,1009,1607,1609
4,1,2140,1347,2018,2067,1966
4,2,1934,1687,1983,1760,2111
4,3,1814,1107,2217,1707,2264
4,4,1760,1027,2047,1594,2069
4,5,1860,1267,1699,1794,2332
4,6,1860,1347,1727,1734,2000
5,1,1960,1594,1358,1827,1311
5,2,1707,1414,1223,1694,1073
5,3,1614,1227,1265,1560,1354
5,4,1654,1254,1152,1614,1481
5,5,1734,1394,1180,1654,1558
5,6,1754,1387,1343,1634,1788
6,1,1960,1720,1571,1774,1703
6,2,1680,1647,1571,1667,1532
6,3,1680,1334,1628,1734,1635
6,4,1760,1540,1407,1600,1635
6,5,1787,1574,1237,1720,1805
6,6,1860,1487,1464,1620,1992
7,1,2134,1594,1429,1867,1515
7,2,1940,1500,1393,1774,1422
7,3,1747,1087,1620,1574,1609
7,4,1754,1334,1393,1854,1660
7,5,1947,1614,1187,1747,1822
7,6,1914,1500,1457,1707,2018
8,1,2054,1507,1443,1894,1303
8,2,1794,1440,1123,1760,1149
8,3,1660,1187,1350,1574,1260
8,4,1687,1147,1223,1634,1396
8,5,1827,1394,1066,1767,1618
8,6,1854,1367,1343,1727,1652
9,1,2094,1520,1414,1820,1515
9,2,1707,1374,1187,1600,1218
9,3,1600,900,1322,1420,1371
9,4,1707,1174,1372,1520,1507
9,5,1760,1187,1123,1647,1541
9,6,1900,1120,1251,1587,1643
10,1,2087,1494,1663,1894,1532
10,2,1680,1334,1194,1694,1260
10,3,1614,980,1549,1520,1405
10,4,1694,1027,1443,1520,1396
10,5,1707,1200,1038,1514,1515
10,6,1827,1194,1343,1547,1711
11,1,2267,1054,1670,2127,1677
11,2,2067,1007,1613,2014,1643
11,3,1947,441,1507,1874,1703
11,4,1814,559,1571,1880,1566
11,5,1960,720,1237,1920,1686
11,6,2027,636,1379,1940,2077
12,1,2427,1387,1848,2114,1907
12,2,2200,1247,2040,2147,2154
12,3,2147,980,2274,2000,2426
12,4,2127,887,2182,1980,2435
12,5,2214,967,2160,2007,2707
12,6,2187,967,1819,1960,2477
13,1,2174,1400,1464,1927,1549
13,2,2000,1354,1365,1854,1524
13,3,1987,1147,1507,1887,1779
13,4,1967,1107,1429,1767,1626
13,5,2094,1347,1279,1980,1830
13,6,2100,1227,1635,1974,2145
14,1,2107,1994,1450,2034,1473
14,2,1847,1814,1294,1860,1243
14,3,1840,1447,1223,1847,1396
14,4,1874,1574,1223,1800,1566
14,5,1914,1707,1287,1827,1694
14,6,1947,1560,1620,1847,2086
15,1,2267,1887,1464,2007,1566
15,2,1800,1880,1251,1900,1311
15,3,1814,1560,1365,1834,1430
15,4,1894,1634,1400,1827,1626
15,5,1954,1787,1265,1854,1805
15,6,1960,1774,1514,1807,2043
16,1,2154,1794,1599,2020,1473
16,2,1934,1647,1315,1934,1226
16,3,1874,1460,1564,1900,1524
16,4,1927,1634,1464,1907,1660
16,5,2020,1774,1372,1974,1779
16,6,2067,1707,1677,1920,2264
17,1,2167,1774,1485,2034,1498
17,2,1887,1487,1365,1887,1294
17,3,1840,1300,1535,1854,1464
17,4,2034,1294,1571,1880,1652
17,5,2067,1707,1393,1994,1873
17,6,2007,1847,1834,1894,2332
18,1,2147,1880,1464,1960,1379
18,2,1814,1627,1201,1914,1175
18,3,1774,1540,1414,1767,1379
18,4,1947,1454,1422,1794,1583
18,5,2000,1854,1265,1907,1805
18,6,1994,1660,1514,1800,2052
19,1,2214,1614,1905,2140,1983
19,2,2040,1480,1940,2134,2060
19,3,2034,1287,2189,1987,2290
19,4,2020,1247,2033,1960,2349
19,5,2107,1294,1819,2014,2332
19,6,2114,1294,1649,1987,2043
20,1,2160,1980,2118,1880,1924
20,2,1907,1727,1997,1907,1873
20,3,1967,1434,1990,1867,2043
20,4,2014,1587,1933,1920,2018
20,5,2054,1900,1933,2014,2128
20,6,2034,1867,2558,1887,2571
21,1,2180,509,1734,1820,1771
21,2,1934,386,1819,1894,1958
21,3,1867,102,2160,1720,2120
21,4,1934,140,2146,1734,2145
21,5,2040,595,1855,1840,2520
21,6,2207,734,1734,1987,2171
22,1,2220,1340,1770,1967,1907
22,2,1987,1134,1677,1974,2137
22,3,1967,940,1976,1900,2435
22,4,1967,954,1805,1914,2775
22,5,2054,960,1592,1934,2681
22,6,2047,1014,1514,1840,2426
23,1,2167,1120,1315,1974,1779
23,2,1834,914,1230,1847,1907
23,3,1794,907,1812,1800,2426
23,4,1907,767,1443,1760,2494
23,5,1980,1107,1599,1934,2843
23,6,2127,1114,1386,1914,2383
24,1,2174,1214,1784,1994,1881
24,2,1967,1254,1890,1954,2247
24,3,1907,934,2281,1840,2443
24,4,2027,940,2168,1960,2766
24,5,2160,1054,1819,2027,2920
24,6,2214,1154,1549,2000,2307
25,1,2280,1634,1926,2187,2052
25,2,2094,1547,2047,2134,2154
25,3,2107,1374,2196,2087,2443
25,4,2114,1374,2203,2114,2256
25,5,2200,1540,2040,2200,2281
25,6,2234,1347,1713,2034,2060
26,1,2187,1234,1308,1980,1294
26,2,2000,1120,1173,1934,1532
26,3,1920,960,1457,1914,1932
26,4,1960,787,1322,1867,2035
26,5,2074,1134,1379,2040,2247
26,6,2134,1074,1301,2020,1864
27,1,2180,1287,1379,2047,1728
27,2,2000,1387,1727,2040,2009
27,3,2034,1067,2217,1914,2239
27,4,2074,974,1606,1934,2366
27,5,2134,1080,1457,1967,2486
27,6,2107,1067,1322,1894,2222
28,1,2060,1227,1116,1920,1464
28,2,1914,1194,1436,1947,2009
28,3,1940,1060,2331,1967,2537
28,4,2007,1007,1720,1920,2639
28,5,2120,1227,1450,1994,2800
28,6,2180,1254,1393,1860,2230
29,1,2060,867,1592,1900,1788
29,2,1887,667,1372,1854,1949
29,3,1880,536,2111,1834,2383
29,4,1914,330,1770,1860,2520
29,5,1987,606,1741,1947,2920
29,6,2027,660,1450,1907,2188
30,1,2054,489,1471,1794,1609
30,2,1767,349,1791,1520,1898
30,3,1720,117,1919,1654,2383
