hyb1,hyb2,hyb3
2060,1907,1887
2127,1940,1834
1947,1700,1587
2140,1934,1814
1960,1707,1614
1960,1680,1680
2134,1940,1747
2054,1794,1660
2094,1707,1600
2087,1680,1614
2267,2067,1947
2427,2200,2147
2174,2000,1987
2107,1847,1840
2267,1800,1814
2154,1934,1874
2167,1887,1840
2147,1814,1774
2214,2040,2034
2160,1907,1967
2180,1934,1867
2220,1987,1967
2167,1834,1794
2174,1967,1907
2280,2094,2107
2187,2000,1920
2180,2000,2034
2060,1914,1940
2060,1887,1880
2054,1767,1720
2240,2047,1900
2140,1974,1914
