m,s,v0,k,p0,t,t0,seconds
50.76923077,0.014230769,0.006307692,1923.076923,9e-04,291.8461538,360,5.30537e-05
48.46153846,0.007307692,0.002,1000,0.001007692,293.2307692,352.3076923,3.73958e-06
46.15384615,0.010769231,0.005076923,4384.615385,0.001084615,296,344.6153846,0.64431343
41.53846154,0.017692308,0.008153846,3461.538462,0.000930769,290.9230769,343.0769231,0.687937989
32.30769231,0.005,0.008769231,2230.769231,0.001038462,291.3846154,340,0.755762345
60,0.013076923,0.007538462,4692.307692,0.001053846,292.3076923,355.3846154,0.710136196
30,0.016538462,0.004461538,1307.692308,0.000961538,294.1538462,346.1538462,1.86015e-05
39.23076923,0.006153846,0.003230769,5000,0.001023077,290.4615385,350.7692308,0.556272751
43.84615385,0.02,0.003846154,3153.846154,0.001069231,290,353.8461538,1.86582e-05
34.61538462,0.009615385,0.006923077,3769.230769,0.000946154,295.5384615,356.9230769,0.60182151
36.92307692,0.011923077,0.009384615,2538.461538,0.0011,292.7692308,358.4615385,0.757395965
55.38461538,0.008461538,0.005692308,4076.923077,0.000915385,293.6923077,341.5384615,0.731960598
53.07692308,0.015384615,0.01,1615.384615,0.000992308,295.0769231,349.2307692,1.128140501
57.69230769,0.018846154,0.002615385,2846.153846,0.000976923,294.6153846,347.6923077,4.87056e-06
