crcBrd,xDev,yDev,tDev
1,-0.00128,-0.00183,0.00732
1,-0.00092,-0.00142,0.06317
1,-0.00104,-0.00174,0.04221
1,-0.00271,-0.0012,0.0401
1,-0.00174,-0.0023,0.03069
1,-5e-04,-0.00157,0.03451
1,-0.00138,-0.00235,-0.00775
1,-0.00242,-0.00208,0.02614
1,-0.00104,-0.0014,-0.00245
1,-0.00105,-0.00115,-0.00158
1,-0.00081,-0.00226,-2e-05
1,-0.00283,-0.00145,-0.00156
1,-0.00101,-0.00248,0.00057
1,-4e-04,-0.00132,0.00031
1,-0.00091,-0.00235,0.00148
1,-0.00237,-0.0013,0.00023
2,-0.00116,-0.00121,0.00742
2,-0.00028,-0.00082,0.03026
2,-0.00072,-0.00171,0.03988
2,-0.00218,-0.00071,0.02159
2,-0.00164,-0.0021,0.03495
2,-0.00101,-0.001,-0.00459
2,-0.00129,-0.00215,-0.00818
2,-0.00228,-0.00194,0.02241
2,-0.00143,-0.00115,-0.00064
2,-0.00109,-0.00126,-0.00023
2,-0.00112,-0.00152,6e-04
2,-0.00257,-0.00145,0.00078
2,-0.00084,-0.00161,-0.00483
2,-0.00037,-0.00112,0.00192
2,-0.00065,-0.00179,-0.00042
2,-0.00209,-0.00118,-0.00213
3,-0.00095,-0.00166,0.03272
3,-0.00048,-0.00106,0.0276
3,-0.00056,-0.00151,0.01258
3,-0.00215,-0.00083,0.02087
3,-0.00134,-0.00259,0.0535
3,-0.00054,-0.00135,0.03628
3,-8e-04,-0.00216,-0.03113
3,-0.00234,-0.00231,0.02312
3,-0.00153,-0.00172,-0.00182
3,-0.00106,-0.00102,0.00087
3,-0.00078,-0.0019,-0.00226
3,-0.00241,-0.00153,0.00274
3,-0.00092,-0.00225,0.00056
3,-0.00021,-0.00135,-0.00067
3,-0.00056,-0.00224,0.00132
3,-0.0018,-0.00151,-8e-05
4,-0.00157,-0.0024,0.01768
4,-0.00112,-0.00209,0.00317
4,-0.00127,-0.00179,0.07677
4,-0.00115,-0.00104,0.0299
4,-0.00095,-0.00201,0.05252
4,-0.00091,-0.00167,0.02959
4,-0.00052,0.00025,0.12981
4,-0.00138,-0.00121,0.04797
4,-0.00098,-0.00217,-0.00288
4,-0.00119,-0.00189,-0.00285
4,-5e-04,-0.0016,-0.00101
4,-0.00092,-0.00113,-0.00079
4,-0.00118,-0.0025,-0.00091
4,-0.00126,-0.00175,-0.00211
4,-0.00042,-0.00136,-0.00201
4,-0.00129,-0.00114,0.00064
5,-0.00131,-0.00258,0.01575
5,-0.00126,-0.00236,0.0104
5,-0.00148,-0.00169,0.03475
5,-0.001,-0.00117,0.01093
5,-0.00124,-0.00165,0.03906
5,-0.00096,-0.00144,0.03098
5,-0.00134,-8e-04,0.03375
5,-0.00097,-0.001,0.03478
5,-0.00097,-0.00187,-9e-05
5,-7e-04,-0.00139,-0.00055
5,-0.00044,-0.00141,6e-04
5,-0.00078,-0.0011,-0.00097
5,-0.00103,-0.00239,-0.00075
5,-0.00095,-0.00177,-0.00131
5,-0.00048,-0.00134,-0.00065
5,-0.00162,-0.00105,-0.00081
6,-0.00119,-0.00278,-0.01015
6,-0.00093,-0.00226,0.02422
6,-0.00082,-0.00152,0.01697
6,-0.00082,-0.00111,0.02619
6,-0.00076,-0.00222,0.02664
6,-0.00068,-0.00144,0.01298
6,-0.00076,-0.00098,0.0346
6,-0.00057,-0.00109,0.03108
6,-0.00081,-0.00253,-0.00193
6,-0.00063,-0.00189,-0.00069
