sensor01,sensor02,sensor03,sensor04,sensor05,sensor06,sensor07,sensor08,sensor09,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,sensor21,sensor22,sensor23,sensor24,sensor25,sensor26,sensor27,sensor28,sensor29,sensor30,sensor31,sensor32,sensor33,sensor34,sensor35,sensor36,sensor37,sensor38,sensor39,sensor40,sensor41,sensor42,sensor43,sensor44,sensor45,sensor46,sensor47,sensor48,sensor49,sensor50,sensor51,sensor52,sensor53,sensor54,sensor55,sensor56,sensor57,sensor58,sensor59,sensor60,sensor61,sensor62,sensor63,testResult,status
395.333333,735.771429,556.714286,651.980952,81.638095,68.209524,69.247619,71.542857,-545.666667,-702.228571,-548.285714,-686.019048,-59.361905,-65.790476,-68.752381,-75.457143,0.266036,1.326023,0.187532,1070.75,771.25,810,504,67.25,82.25,79.25,64,7639,7229.093651,7456.133333,7396.251587,-3.476984,-9.469048,-4.807937,-7.071429,290.203815,152.961905,426.954943,77.514286,305.075922,113.095238,398.544976,63.509524,27.035153,-0.847619,26.598322,-0.77619,29.423768,1.838095,28.44358,-1.304762,2.298961,1.950269,1.947489,1.854751,34.4,38.4,41.6,46.4,0.476096,0.350414,0.756394,2.203369,Good,Pass
657.8,385.87619,833.580952,239,44.247619,40.371429,50.085714,39.92381,-622.2,-402.12381,-596.419048,-439,-65.752381,-51.628571,-64.914286,-61.07619,0.271825,0.995109,0.186893,634.25,893.75,1201.25,529.25,57,51.25,63.25,41,7155.353968,7683.020635,6997.542063,7682.107937,-10.080952,-4.640476,-11.752381,-2.066667,442.623438,100.380952,227.982594,110.366667,451.483165,92.780952,221.154051,100.285714,19.127444,0.890476,16.621556,0.171429,23.039367,2.228571,18.719664,0.880952,1.777291,1.742249,1.649125,1.599865,1.2,35.2,3.8,7.8,0.83187,0.291837,0.85961,4.56678,Good,Pass
604.104762,678.171429,743.952381,496.819048,70.904762,56.314286,64.685714,52.847619,-571.895238,-550.828571,-565.047619,-609.180952,-58.095238,-58.685714,-100.314286,-74.152381,0.290424,1.136357,0.21656,1134.5,1157.5,698.5,1054.5,72,54.25,65.5,45.25,7235.784127,7256.038889,7196.275397,7328.340476,-5.448413,-9.180159,-5.88254,-6.973016,315.917295,107.514286,376.105526,81.7,329.05196,72.042857,354.492604,82.557143,24.479972,-2.609524,19.887073,-0.552381,29.713608,3.195238,21.143963,0.047619,2.337696,2.129826,2.049059,1.997477,4.8,9,36,48.8,1.180165,0.32356,1.259943,6.345386,Good,Pass
348.771429,621.590476,506.47619,424.085714,55.4,59.47619,71.342857,45.809524,-438.228571,-650.409524,-464.52381,-604.914286,-44.6,-48.52381,-65.657143,-60.190476,0.292034,1.005209,0.197018,489.25,844,523.25,1015,64,64.75,67.25,52.25,7692.542857,7349.930952,7427.600794,7452.434921,-3.407937,-10.955556,-3.980159,-7.986508,243.196062,136.438095,421.403416,102.2,253.324025,79.452381,378.336664,155.852381,20.292887,-0.87619,16.634102,0.133333,25.00635,1.214286,18.933299,0.442857,1.850893,1.385882,1.38028,1.344826,31.2,10.4,8,2.2,0.709678,0.245978,0.828644,4.290314,Good,Pass
333.009524,624.771429,540.485714,637.047619,67.666667,64.495238,69.92381,68.714286,-470.990476,-585.228571,-433.514286,-566.952381,-48.333333,-56.504762,-84.07619,-61.285714,0.286129,1.113629,0.216164,1223.75,1092.5,949.75,1233.5,66,73.5,70.25,63.25,7559.365873,7254.254762,7347.931746,7224.139683,-3.894444,-8.780159,-4.665873,-7.802381,229.511083,108.614286,372.768872,48.138095,255.899765,83.471429,367.613808,23.714286,19.504861,-1.047619,20.857191,-2.32381,26.569267,1.8,22.105468,-2.057143,3.161732,2.415782,2.39629,2.321282,36,8.8,4.8,48,1.245587,0.429538,1.452537,8.590426,Good,Pass
752.342857,241.028571,840.314286,262.419048,66.447619,55.057143,70.2,52.990476,-723.657143,-358.971429,-742.685714,-437.580952,-57.552381,-50.942857,-86.8,-59.009524,0.291502,1.10529,0.189389,1195.5,865,1041,479.25,60.25,53,61.25,47.75,7165.639683,7766.316667,7134.649206,7906.818254,-10.535714,-2.096032,-10.738095,1.047619,480.291877,145.304762,168.24585,63.028571,463.015585,133.371429,173.018317,64.180952,22.363543,0.5,19.874079,0.271429,28.719326,0.895238,21.92867,0.085714,2.248387,2.099661,1.590496,1.48382,40.4,2.2,39.2,34.4,0.672228,0.321323,0.66704,1.602417,Good,Pass
287.390476,718.428571,410.714286,699.390476,53.647619,51.47619,65.161905,48.619048,-469.609524,-665.571429,-438.285714,-732.609524,-64.352381,-35.52381,-88.838095,-52.380952,0.296793,1.056029,0.20336,853,676.5,852.25,1129,52,47.75,62,45.25,7670.61746,7260.029365,7527.668254,7257.00873,-1.901587,-11.430159,-1.280952,-10.512698,209.010137,100.895238,462.701389,96.757143,194.908498,41.095238,465.227823,126.571429,20.779582,0.67619,17.695073,-0.47619,28.477684,1.857143,21.25239,1,2.113301,1.968402,1.889737,1.576845,40.4,2.2,39.2,3.2,0.64123,0.317471,0.672855,4.101364,Good,Pass
463.180952,631.07619,590.095238,541.895238,51.352381,68.990476,73.619048,79.685714,-628.819048,-626.92381,-609.904762,-678.104762,-70.647619,-63.009524,-70.380952,-43.314286,0.239676,1.308681,0.169125,1061.25,649,1730.75,774.5,75.25,72,80,65,7486.800794,7201.938889,7363,7240.073016,-6.130159,-8.687302,-6.940476,-5.809524,346.63552,133.266667,375.387669,26.204762,336.045337,104.995238,361.339929,18.580952,24.484526,-0.695238,23.060516,-2.504762,28.500867,0.009524,25.407601,-3.104762,3.873266,2.187191,1.900326,1.837095,20.8,9.8,50,36.4,0.73774,0.442229,0.982891,3.585645,Good,Pass
270.095238,542.514286,391.619048,385.847619,38.495238,50.8,57.095238,50.142857,-443.904762,-519.485714,-502.380952,-572.152381,-79.504762,-61.2,-61.904762,-67.857143,0.184411,1.055193,0.114152,820.25,697.25,685,1310.25,61,70,58.5,47.25,7624.179365,7272.904762,7489.676984,7361.284127,-2.697619,-7.501587,-2.655556,-5.366667,224.092236,116.095238,299.211715,105.752381,223.406446,59.552381,286.248911,81.538095,21.832745,2.195238,20.70091,-0.142857,25.520452,2.390476,21.345384,0.27619,2.176639,1.998869,1.919022,1.853581,0.2,38,7.6,6.4,1.089713,0.346807,1.106191,8.214827,Good,Pass
359.266667,707.780952,546.009524,580.190476,41.247619,42.457143,52.904762,50.771429,-502.733333,-582.219048,-503.990476,-621.809524,-69.752381,-53.542857,-79.095238,-52.228571,0.311028,1.064207,0.221921,943.5,697.25,737.25,1230.5,70,62.25,64,51.5,7364.680952,7058.751587,7229.703175,7112.610317,-5.151587,-9.872222,-5.427778,-7.751587,287.080919,158.928571,396.396181,29.957143,285.81784,117.52381,364.064436,14.009524,20.866587,1.257143,19.473183,-0.885714,24.989355,3.009524,21.326847,-1.228571,2.329719,1.474534,1.445914,1.422088,20.8,21.2,47.6,8.6,0.731488,0.275165,0.754442,3.346567,Good,Pass
