CustomerNumber,Censor,TimeStamp,SystemMaturity,Country
12558,1,1574153,Mature,UNITED STATES
12836,0,2261043,Mature,UNITED STATES
CH0007,1,1726097,Mature,INDIA
CH0007,1,1178089,Mature,INDIA
CA0029,1,1354856,Mature,CHINA
CA0029,1,2770291,Mature,CHINA
C710750,1,2020869,Mature,SPAIN
CA0029,1,911377,Mature,CHINA
C850290,1,1014660,Mature,BULGARIA
11151,1,1153479,Mature,UNITED STATES
12896,1,4484240,Mature,UNITED STATES
11252,1,3682938,Mature,UNITED STATES
11252,1,2074945,Mature,UNITED STATES
12837,1,118501,Young,UNITED STATES
12837,1,118501,Mature,UNITED STATES
C840035,0,246278,Mature,POLAND
CA0029,0,376979,Mature,CHINA
12940,1,3187382,Mature,UNITED STATES
12939,1,3115054,Mature,UNITED STATES
C120800,0,735036,Mature,BELGIUM
C120800,1,1164644,Mature,BELGIUM
C810100,0,2187785,Mature,HUNGARY
C810100,0,1541205,Mature,HUNGARY
C810100,0,20927,Mature,HUNGARY
C810100,0,532693,Mature,HUNGARY
CA0029,1,467071,Mature,CHINA
CA0029,1,1369590,Mature,CHINA
10800,1,1431263,Mature,UNITED STATES
CA0029,1,1073313,Mature,CHINA
CA0029,1,711775,Mature,CHINA
12449,0,78622,Mature,UNITED STATES
12939,1,1904169,Mature,UNITED STATES
12939,1,1735528,Mature,UNITED STATES
12939,1,5793846,Mature,UNITED STATES
C145750,1,1575949,Mature,ITALY
12798,0,890443,Mature,UNITED STATES
C712090,0,1407651,Mature,SPAIN
C712090,0,531066,Mature,SPAIN
12717,1,1928753,Mature,UNITED STATES
12904,1,39038,Mature,UNITED STATES
12904,1,335563,Mature,UNITED STATES
12904,1,335531,Mature,UNITED STATES
11571,0,2955188,Mature,UNITED STATES
C146400,0,607608,Mature,ITALY
12373,1,1716916,Mature,UNITED STATES
CA0029,1,248787,Mature,CHINA
11630,1,1158952,Mature,UNITED STATES
11630,1,1316534,Mature,UNITED STATES
12849,1,1308760,Mature,UNITED STATES
12837,1,336966,Mature,UNITED STATES
11891,1,202352,Mature,UNITED STATES
11891,1,177611,Mature,UNITED STATES
CL0043,1,3312879,Mature,BRAZIL
12821,1,871935,Mature,UNITED STATES
12821,1,1789903,Mature,UNITED STATES
CA0029,1,2917224,Mature,CHINA
CA0015,0,19546,Mature,NEW ZEALAND
C840090,0,1188817,Mature,ROMANIA
C840090,0,424721,Mature,ROMANIA
CL0011,1,2437982,Mature,BRAZIL
CJ071680,1,46448,Mature,JAPAN
